chemin, class, classe_LOC, classe_CLOC, classe_DC	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/AbstractAnnotation.java, AbstractAnnotation, 104.0, 47.0, 0.45192307	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/AbstractXYAnnotation.java, AbstractXYAnnotation, 108.0, 39.0, 0.3611111	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/Annotation.java, Annotation, 8.0, 4.0, 0.5	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/CategoryAnnotation.java, CategoryAnnotation, 10.0, 6.0, 0.6	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/CategoryLineAnnotation.java, CategoryLineAnnotation, 248.0, 79.0, 0.31854838	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/CategoryPointerAnnotation.java, CategoryPointerAnnotation, 312.0, 102.0, 0.32692307	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/CategoryTextAnnotation.java, CategoryTextAnnotation, 151.0, 44.0, 0.29139072	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/TextAnnotation.java, TextAnnotation, 193.0, 71.0, 0.36787564	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/XYAnnotation.java, XYAnnotation, 14.0, 9.0, 0.64285713	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/XYAnnotationBoundsInfo.java, XYAnnotationBoundsInfo, 15.0, 10.0, 0.6666667	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/XYBoxAnnotation.java, XYBoxAnnotation, 188.0, 58.0, 0.30851063	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/XYDataImageAnnotation.java, XYDataImageAnnotation, 217.0, 76.0, 0.35023043	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/XYDrawableAnnotation.java, XYDrawableAnnotation, 155.0, 47.0, 0.30322582	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/XYImageAnnotation.java, XYImageAnnotation, 172.0, 58.0, 0.3372093	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/XYLineAnnotation.java, XYLineAnnotation, 185.0, 51.0, 0.27567568	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/XYPointerAnnotation.java, XYPointerAnnotation, 324.0, 102.0, 0.3148148	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/XYPolygonAnnotation.java, XYPolygonAnnotation, 218.0, 72.0, 0.33027524	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/XYShapeAnnotation.java, XYShapeAnnotation, 176.0, 49.0, 0.2784091	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/XYTextAnnotation.java, XYTextAnnotation, 398.0, 147.0, 0.36934674	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/XYTitleAnnotation.java, XYTitleAnnotation, 243.0, 58.0, 0.23868313	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/axis/Axis.java, Axis, 1147.0, 401.0, 0.34960768	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/axis/AxisCollection.java, AxisCollection, 65.0, 21.0, 0.32307693	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/axis/AxisLabelLocation.java, AxisLabelLocation, 8.0, 3.0, 0.375	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/axis/AxisLocation.java, AxisLocation, 34.0, 10.0, 0.29411766	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/axis/AxisSpace.java, AxisSpace, 237.0, 54.0, 0.2278481	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/axis/AxisState.java, AxisState, 90.0, 29.0, 0.32222223	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/axis/CategoryAnchor.java, CategoryAnchor, 8.0, 3.0, 0.375	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/axis/CategoryAxis.java, CategoryAxis, 1034.0, 320.0, 0.30947775	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/axis/CategoryLabelPosition.java, CategoryLabelPosition, 145.0, 52.0, 0.3586207	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/axis/CategoryLabelPositions.java, CategoryLabelPositions, 292.0, 82.0, 0.28082192	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/axis/CategoryLabelWidthType.java, CategoryLabelWidthType, 6.0, 2.0, 0.33333334	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/axis/CategoryTick.java, CategoryTick, 70.0, 20.0, 0.2857143	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/axis/CompassFormat.java, CompassFormat, 74.0, 31.0, 0.4189189	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/axis/CyclicNumberAxis.java, CycleBoundTick, 673.0, 120.0, 0.17830609	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/axis/DateAxis.java, DefaultTimeline, 1356.0, 342.0, 0.25221238	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/axis/DateTick.java, DateTick, 61.0, 24.0, 0.39344263	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/axis/DateTickMarkPosition.java, DateTickMarkPosition, 8.0, 3.0, 0.375	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/axis/DateTickUnit.java, DateTickUnit, 218.0, 86.0, 0.39449543	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/axis/DateTickUnitType.java, DateTickUnitType, 28.0, 12.0, 0.42857143	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/axis/ExtendedCategoryAxis.java, ExtendedCategoryAxis, 131.0, 43.0, 0.32824427	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/axis/LogAxis.java, LogAxis, 775.0, 238.0, 0.30709678	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/axis/LogTick.java, LogTick, 21.0, 10.0, 0.47619048	
