CC, methode_BC	
1, 0.25	
1, 0.5	
1, 0.5	
1, 0.6923077	
2, 0.14285715	
2, 0.17857143	
1, 0.5714286	
2, 0.2	
1, 0.5	
1, 0.16666667	
1, 0.625	
1, 0.6666667	
1, 0.625	
1, 0.73333335	
1, 0.7619048	
3, 0.11594203	
5, 0.03636364	
1, 0.8	
1, 0.21052632	
1, 0.6666667	
1, 0.5	
1, 0.5	
1, 0.6	
1, 0.6666667	
1, 0.5	
1, 0.5	
1, 0.6	
1, 0.6666667	
1, 0.5	
1, 0.6666667	
1, 0.5714286	
3, 0.04347826	
9, 0.01010101	
1, 0.13333334	
1, 0.375	
1, 0.36842105	
1, 0.5	
1, 0.6	
1, 0.5	
1, 0.6	
1, 0.5	
1, 0.6	
1, 0.5	
1, 0.6	
1, 0.5	
1, 0.6	
1, 0.5	
1, 0.6	
1, 0.6666667	
1, 0.5	
1, 0.6666667	
1, 0.5714286	
2, 0.075	
12, 0.005952381	
1, 0.0952381	
1, 0.375	
1, 0.3846154	
1, 0.6666667	
1, 0.5	
1, 0.5	
1, 0.5	
1, 0.5	
1, 0.64285713	
3, 0.052631576	
7, 0.015873017	
1, 0.18181819	
1, 0.2857143	
1, 0.6666667	
1, 0.5	
1, 0.6666667	
1, 0.5	
1, 0.6666667	
1, 0.5	
1, 0.5	
1, 0.5	
1, 0.6666667	
1, 0.5	
1, 0.5	
1, 0.5833333	
9, 0.015873017	
1, 0.14285715	
1, 0.42857143	
1, 0.875	
1, 0.85714287	
1, 0.6666667	
1, 0.71428573	
1, 0.47826087	
5, 0.04680851	
11, 0.012987014	
1, 0.125	
1, 0.5	
1, 0.7777778	
1, 0.47619048	
1, 0.4	
1, 0.4	
1, 0.4	
1, 0.5	
1, 0.5	
1, 0.5	
1, 0.42857143	
1, 0.42857143	
4, 0.060344826	
10, 0.015384616	
1, 0.33333334	
1, 0.5714286	
1, 0.75	
1, 0.47826087	
2, 0.13333334	
10, 0.015384616	
1, 0.125	
1, 0.72727275	
1, 0.33333334	
1, 0.5	
1, 0.5	
1, 0.5	
1, 0.5	
4, 0.060185187	
8, 0.022727273	
1, 0.33333334	
1, 0.5	
1, 0.7	
1, 0.45833334	
5, 0.046875	
10, 0.010810811	
