WMC, classe_BC	
2, 0.24264705	
5, 0.07522936	
1, 0.72727275	
1, 0.7692308	
1, 0.32258064	
1, 0.3529412	
1, 0.29801324	
1, 0.37628865	
1, 0.7647059	
1, 0.75	
1, 0.31746033	
1, 0.36651585	
1, 0.30967742	
1, 0.3505747	
1, 0.28108108	
1, 0.33633634	
1, 0.33789954	
1, 0.2881356	
1, 0.3734336	
1, 0.2489796	
2, 0.17580505	
1, 0.35820895	
1, 0.5555556	
1, 0.34285715	
1, 0.23206751	
1, 0.3617021	
1, 0.5555556	
4, 0.077611215	
9, 0.041572183	
7, 0.040955633	
1, 0.5	
6, 0.05	
1, 0.23023255	
1, 0.26209387	
1, 0.40983605	
1, 0.5555556	
1, 0.40182647	
1, 0.4827586	
1, 0.3409091	
8, 0.038770914	
1, 0.52380955	
1, 0.26180837	
9, 0.026224982	
4, 0.076271184	
1, 0.43150684	
1, 0.29579207	
1, 0.5555556	
1, 0.33783785	
3, 0.026422763	
1, 0.34615386	
1, 0.3859649	
1, 0.25862068	
7, 0.038745385	
1, 0.32954547	
1, 0.5714286	
5, 0.077999994	
1, 0.7894737	
1, 0.35	
1, 0.86206895	
1, 0.36317137	
1, 0.42647058	
2, 0.18877551	
1, 0.71428573	
1, 0.7714286	
5, 0.0640625	
6, 0.04714912	
1, 0.75	
1, 0.5	
1, 0.4	
1, 0.12709832	
1, 0.3649289	
4, 0.094827585	
1, 0.2647059	
1, 0.46	
1, 0.75	
1, 0.6666667	
1, 0.28025478	
1, 0.24444444	
1, 0.3580247	
1, 0.5	
6, 0.03974359	
1, 0.3255814	
1, 0.5	
1, 0.43961352	
4, 0.10309278	
1, 0.71428573	
1, 0.6666667	
1, 0.5	
2, 0.19135803	
2, 0.08940397	
1, 0.41666666	
2, 0.07647059	
2, 0.048387095	
1, 0.20518868	
2, 0.08898305	
1, 0.2	
2, 0.09338521	
1, 0.5471698	
1, 0.71428573	
1, 0.33333334	
1, 0.5	
1, 0.43209878	
1, 0.46153846	
1, 0.3761468	
1, 0.4368932	
1, 0.31578946	
1, 0.33734939	
1, 0.6896552	
1, 0.37037036	
chemin, class, classe_LOC, classe_CLOC, classe_DC	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/axis/MarkerAxisBand.java, MarkerAxisBand, 161.0, 38.0, 0.23602484	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/axis/NumberTickUnitSource.java, NumberTickUnitSource, 164.0, 13.0, 0.07926829	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/axis/SymbolAxis.java, SymbolAxis, 542.0, 147.0, 0.2712177	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/axis/LogAxis.java, LogAxis, 777.0, 241.0, 0.3101673	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/block/LineBorder.java, LineBorder, 130.0, 31.0, 0.23846154	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/axis/CategoryLabelPositions.java, CategoryLabelPositions, 293.0, 84.0, 0.28668943	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/axis/CategoryLabelPosition.java, CategoryLabelPosition, 147.0, 55.0, 0.37414965	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/block/BlockContainer.java, BlockContainer, 152.0, 43.0, 0.28289473	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/editor/DefaultNumberAxisEditor.java, DefaultNumberAxisEditor, 93.0, 9.0, 0.09677419	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/axis/CategoryTick.java, CategoryTick, 70.0, 21.0, 0.3	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/block/BlockBorder.java, BlockBorder, 128.0, 41.0, 0.3203125	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/AbstractXYAnnotation.java, AbstractXYAnnotation, 109.0, 41.0, 0.3761468	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/axis/ModuloAxis.java, ModuloAxis, 295.0, 90.0, 0.30508474	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/editor/DefaultLogAxisEditor.java, DefaultLogAxisEditor, 85.0, 13.0, 0.15294118	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/axis/CategoryAxis.java, CategoryAxis, 1034.0, 321.0, 0.31044486	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/axis/TickUnit.java, TickUnit, 100.0, 39.0, 0.39	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/editor/DefaultPolarPlotEditor.java, DefaultPolarPlotEditor, 118.0, 21.0, 0.1779661	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/editor/DefaultChartEditor.java, DefaultChartEditor, 151.0, 27.0, 0.17880794	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/editor/DefaultValueAxisEditor.java, DefaultValueAxisEditor, 257.0, 48.0, 0.18677042	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/block/ColorBlock.java, ColorBlock, 87.0, 33.0, 0.37931034	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/date/SpreadsheetDate.java, SpreadsheetDate, 291.0, 120.0, 0.41237113	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/block/BorderArrangement.java, BorderArrangement, 417.0, 53.0, 0.12709832	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/axis/Axis.java, Axis, 1149.0, 404.0, 0.3516101	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/block/AbstractBlock.java, AbstractBlock, 392.0, 148.0, 0.37755102	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/editor/DefaultAxisEditor.java, DefaultAxisEditor, 324.0, 124.0, 0.38271606	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/editor/DefaultTitleEditor.java, DefaultTitleEditor, 170.0, 34.0, 0.2	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/editor/DefaultPlotEditor.java, DefaultPlotEditor, 424.0, 87.0, 0.20518868	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/axis/CyclicNumberAxis.java, CyclicNumberAxis, 860.0, 198.0, 0.23023255	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/axis/AxisSpace.java, AxisSpace, 237.0, 55.0, 0.23206751	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/AbstractAnnotation.java, AbstractAnnotation, 68.0, 33.0, 0.4852941	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/block/GridArrangement.java, GridArrangement, 315.0, 77.0, 0.24444444	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/XYTitleAnnotation.java, XYTitleAnnotation, 245.0, 61.0, 0.2489796	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/axis/SubCategoryAxis.java, SubCategoryAxis, 290.0, 75.0, 0.25862068	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/axis/LogarithmicAxis.java, LogarithmicAxis, 741.0, 194.0, 0.26180837	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/axis/DateAxis.java, DateAxis, 1385.0, 363.0, 0.26209387	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/block/ColumnArrangement.java, ColumnArrangement, 272.0, 72.0, 0.2647059	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/block/FlowArrangement.java, FlowArrangement, 314.0, 88.0, 0.28025478	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/XYLineAnnotation.java, XYLineAnnotation, 185.0, 52.0, 0.28108108	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/XYShapeAnnotation.java, XYShapeAnnotation, 177.0, 51.0, 0.2881356	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/axis/NumberAxis.java, NumberAxis, 808.0, 239.0, 0.29579207	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/CategoryTextAnnotation.java, CategoryTextAnnotation, 151.0, 45.0, 0.29801324	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/XYDrawableAnnotation.java, XYDrawableAnnotation, 155.0, 48.0, 0.30967742	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/entity/CategoryLabelEntity.java, CategoryLabelEntity&lt;C, 57.0, 18.0, 0.31578946	
https://github.com/jfree/jfreechart/blob/master/src/main/java/org/jfree/chart/annotations/XYBoxAnnotation.java, XYBoxAnnotation, 189.0, 60.0, 0.31746033	
