CC, methode_BC	
1, 0.25	
1, 0.5	
1, 0.5	
1, 0.6923077	
2, 0.14285715	
2, 0.17857143	
1, 0.16666667	
1, 0.625	
1, 0.6666667	
1, 0.625	
3, 0.1590909	
5, 0.03636364	
1, 0.6666667	
1, 0.5	
1, 0.5	
1, 0.6	
1, 0.6666667	
1, 0.5	
1, 0.5	
1, 0.6	
1, 0.6666667	
1, 0.5	
1, 0.6666667	
3, 0.064327486	
9, 0.01010101	
1, 0.13333334	
1, 0.5	
1, 0.5	
1, 0.6	
1, 0.5	
1, 0.6	
1, 0.5	
1, 0.6	
1, 0.5	
1, 0.6	
1, 0.5	
1, 0.6	
1, 0.5	
1, 0.6	
1, 0.6666667	
1, 0.5	
1, 0.6666667	
2, 0.09859155	
12, 0.005952381	
1, 0.0952381	
1, 0.42857143	
1, 0.6666667	
1, 0.5	
1, 0.5	
1, 0.5	
1, 0.5	
3, 0.08163265	
7, 0.015873017	
1, 0.18181819	
1, 0.5	
1, 0.2857143	
1, 0.6666667	
1, 0.5	
1, 0.6666667	
1, 0.5	
1, 0.6666667	
1, 0.5	
1, 0.5	
1, 0.5	
1, 0.6666667	
1, 0.5	
1, 0.5	
1, 0.5833333	
9, 0.015873017	
1, 0.14285715	
5, 0.13333334	
11, 0.012987014	
1, 0.125	
1, 0.5	
1, 0.4	
1, 0.4	
1, 0.4	
1, 0.5	
1, 0.5	
1, 0.5	
1, 0.42857143	
4, 0.10714286	
10, 0.015384616	
1, 0.33333334	
1, 0.42857143	
10, 0.015000001	
1, 0.125	
1, 0.42857143	
1, 0.45833334	
1, 0.5	
1, 0.5	
1, 0.5	
4, 0.125	
8, 0.022727273	
1, 0.33333334	
1, 0.42857143	
5, 0.14	
10, 0.010810811	
1, 0.125	
1, 0.42857143	
1, 0.3888889	
1, 0.5	
1, 0.6	
1, 0.5	
1, 0.6	
1, 0.5	
1, 0.6	
1, 0.5	
1, 0.6	
1, 0.5	
1, 0.6	
1, 0.5	
1, 0.6	
1, 0.6666667	
1, 0.5	
1, 0.6666667	
5, 0.032183908	
11, 0.0069930074	
1, 0.0952381	
1, 0.42857143	
2, 0.2777778	
1, 0.625	
1, 0.625	
1, 0.625	
6, 0.036231883	
8, 0.022727273	
